Dog-number,Breed,Personality,Weight,Life,Coat,URL,Image,Image-title,Image-url,Photographer,License,License-url
1,American Eskimo Dog,"loyal, smart and versatile",25-35 pounds,13-15 years,medium,https://www.akc.org/dog-breeds/american-eskimo-dog/,dog01.jpeg,American Eskimo Dog 1,https://commons.wikimedia.org/wiki/File:American_Eskimo_Dog_1.jpg,Christmas w/a K,Creative Commons Attribution-Share Alike 2.0 Generic,https://creativecommons.org/licenses/by-sa/2.0/deed.en
2,American Hairless Terrier,"alert, curious and energetic",12-16 pounds,14-16 years,short,https://www.akc.org/dog-breeds/american-hairless-terrier/,dog02.jpeg,Wudnway Magnetic Spots,https://commons.wikimedia.org/wiki/File:Wudnway_Magnetic_Spots.jpg,Sergey Akishev,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
3,Basenji,"independent, smart and poised",22-24 pounds,13-14 years,short,https://www.akc.org/dog-breeds/basenji/,dog03.jpeg,Basenji in Basankusu Dibu Basenji,https://commons.wikimedia.org/wiki/File:Basenji_in_Basankusu_Dibu_Basenji.jpg,Francis Hannaway,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
4,Beagle,"curious, friendly and merry",20-30 pounds,10-15 years,short,https://www.akc.org/dog-breeds/beagle/,dog04.jpeg,Beagle Faraon,https://commons.wikimedia.org/wiki/File:Beagle_Faraon.JPG,Taz80 / SEDIRI Eddy,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
5,Boston Terrier,"friendly, bright and amusing",12-25 pounds,11-13 years,short,https://www.akc.org/dog-breeds/boston-terrier/,dog05.png,Boston Terrier Adulto,https://commons.wikimedia.org/wiki/File:Boston_Terrier_Adulto.png,Boggy9100,Creative Commons Attribution-Share Alike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/deed.en
6,Cocker Spaniel,"smart, happy and gentle",20-30 pounds,10-14 years,long,https://www.akc.org/dog-breeds/cocker-spaniel/,dog06.jpeg,Cocker Spaniel Desktop Background,https://commons.wikimedia.org/wiki/File:Cocker_Spaniel_Desktop_Background.JPG,ZooFari,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
7,Dachshund,"curious, friendly and spunky",16-32 pounds,12-16 years,short,https://www.akc.org/dog-breeds/dachshund/,dog07.jpeg,Short-haired-Dachshund,https://commons.wikimedia.org/wiki/File:Short-haired-Dachshund.jpg,Igor Bredikhin,Creative Commons Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/deed.en
8,English Toy Spaniel,"intelligent, playful and gentle",8-14 pounds,10-12 years,medium,https://www.akc.org/dog-breeds/english-toy-spaniel/,dog08.jpeg,Cavalier King Charles Spaniel (1491375362),https://commons.wikimedia.org/wiki/File:Cavalier_King_Charles_Spaniel_(1491375362).jpg,allen watkin,Creative Commons Attribution-Share Alike 2.0 Generic,https://creativecommons.org/licenses/by-sa/2.0/deed.en
9,French Bulldog,"playful, smart and adaptable",20-28 pounds,10-12 years,short,https://www.akc.org/dog-breeds/french-bulldog/,dog09.jpeg,French Bulldog Male,https://commons.wikimedia.org/wiki/File:French_Bulldog_Male.jpg,TunedAutomotive,Creative Commons Attribution-Share Alike 4.0 International,https://creativecommons.org/licenses/by-sa/4.0/deed.en
10,Havanese,"intelligent, outgoing and funny",7-13 pounds,14-16 years,long,https://www.akc.org/dog-breeds/havanese/,dog10.jpeg,Havaneser Anton,https://commons.wikimedia.org/wiki/File:Havaneser_Anton.jpg,Edumegina,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
11,Italian Greyhound,"alert, playful and sensitive",7-14 pounds,14-15 years,short,https://www.akc.org/dog-breeds/italian-greyhound/,dog11.jpeg,Italian Greyhound standing gray,https://commons.wikimedia.org/wiki/File:Italian_Greyhound_standing_gray.jpg,christina,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/deed.en
12,Lhasa Apso,"confident, smart and comical",12-18 pounds,12-15 years,long,https://www.akc.org/dog-breeds/lhasa-apso/,dog12.jpeg,Lhasa Apso 4971b,https://commons.wikimedia.org/wiki/File:Lhasa_Apso_4971b.jpg,Alzberger,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
13,Miniature Poodle,"active, proud and very smart",10-15 pounds,10-18 years,long,https://www.akc.org/dog-breeds/poodle-miniature/,dog13.jpeg,Miniature Poodle stacked,https://commons.wikimedia.org/wiki/File:Miniature_Poodle_stacked.jpg,Belinda,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/deed.en
14,Miniature Schnauzer,"friendly, smart and obedient",11-20 pounds,12-15 years,medium,https://www.akc.org/dog-breeds/miniature-schnauzer/,dog14.jpeg,Miniature Schnauzer salt & pepper,https://commons.wikimedia.org/wiki/File:Miniature_Schnauzer_salt_%26_pepper.jpg,Canarian,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
15,Norfolk Terrier,"alert, fearless and fun-loving",11-12 pounds,12-16 years,short,https://www.akc.org/dog-breeds/norfolk-terrier/,dog15.jpeg,2 Norfolks,https://commons.wikimedia.org/wiki/File:2_Norfolks.jpg,tanakawho,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/deed.en
16,Parson Russell Terrier,"friendly, clever and athletic",13-17 pounds,13-15 years,short,https://www.akc.org/dog-breeds/parson-russell-terrier/,dog16.jpeg,Parson russell Jamy,https://commons.wikimedia.org/wiki/File:Parson_russell_Jamy.jpg,cla_lean,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/
17,Pekingese,"loyal, affectionate and regal in manner",10-14 pounds,12-14 years,long,https://www.akc.org/dog-breeds/pekingese/,dog17.jpeg,Pekingese-dog,https://commons.wikimedia.org/wiki/File:Pekingese-dog.jpg,Karen Arnold,Creative Commons CC0 1.0 Universal Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/deed.en
18,Pug,"charming, loving and mischievous",14-18 pounds,13-15 years,short,https://www.akc.org/dog-breeds/pug/,dog18.jpeg,Pug after bath,https://commons.wikimedia.org/wiki/File:Pug_after_bath.jpg,HTO,Creative Commons CC0 1.0 Universal Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/deed.en
19,Russell Terrier,"alert, inquisitive and lively",9-15 pounds,12-14 years,short,https://www.akc.org/dog-breeds/russell-terrier/,dog19.jpeg,Parson Russell Terrier - female,https://commons.wikimedia.org/wiki/File:Parson_Russell_Terrier_-_female.jpg,Sadnes,Creative Commons Attribution-Share Alike 3.0 Unported,https://creativecommons.org/licenses/by-sa/3.0/deed.en
20,Shiba Inu,"alert, active and attentive",17-23 pounds,13-16 years,short,https://www.akc.org/dog-breeds/shiba-inu/,dog20.jpeg,1Shiba Inu Kazumi,https://commons.wikimedia.org/wiki/File:1Shiba_Inu_Kazumi.jpg,Maja Dumat,Creative Commons Attribution 2.0 Generic ,https://creativecommons.org/licenses/by/2.0/deed.en
